Номер п/п,Маршрут,Тип,Наименование маршрута регулярных перевозок,МК,СК,БК,ОБК,Всего,"Минимальный интервал движения, мин","Время рейса (оборотного), мин","Протяженность маршрута (туда и обратно), км","Средняя скорость, км/ч2"
52,60а,Автобус,Новое поселение – Ц. Рынок,3, , , ,3,19,58,10.1,10.63
76,90,Автобус,Верхний Темерник – Площадь Советской Конституции, ,6, , ,6,15,92,16.399999999999999,10.93
66,74а,Автобус,ЖК Соловьиная Роща – Улица Малиновского ,4, , , ,4,16,64,12,11.25
74,88 (эл),Автобус,ВОС - Областной автовокзал Центральный, , ,12, ,12,17,198,38.600000000000001,11.35
50,58 (эл),Автобус,Сельмаш – Ц. Рынок, , ,10, ,10,10,98,19.199999999999999,11.52
97,13,Троллейбус,ЖК Платовский - Верхний Темерник, ,,4,,4,13,50,10,11.54
8,7,Автобус,Гл. ЖДВ – ул. Можайская, , ,10, ,10,15,145,29,11.60
20,20,Автобус,пос. Первомайский – пл. Мичурина,2, , , ,2,36,73,14,11.67
92,2,Троллейбус,Приг. ЖДВ – ул. 35-я Линия,,,9,,9,8,69,14.1,11.75
75,89,Автобус,Улица Содружества – ЖК Левенцовка парк, ,4, , ,4,19,76,15,11.84
51,60,Автобус,ул. Мечникова – Ц. Рынок,2,2, , ,4,13,54,10.300000000000001,11.88
2,2,Автобус,Площадь Чкалова – Центральный рынок, ,3, , ,3,38,115,23,12.11
11,11,Автобус,1-й пос. Орджоникидзе – Пригородный автовокзал, ,1, , ,1,35,35,7.2999999999999998,12.51
94,6,Троллейбус,Ц. Рынок – ул. Лелюшенко, ,,10,,10,13,132,27.199999999999999,12.55
3,3,Автобус,Гл. ЖДВ – Лесничество, , ,15, ,15,8,121,25.600000000000001,12.80
53,61,Автобус,ул. Мечникова – Ц. Рынок, ,5, , ,5,10,49,10.699999999999999,12.84
7,6а,Автобус,Обл. Больница  – Ц. Рынок, , ,6, ,6,21,128,27.199999999999999,12.95
37,41,Автобус,"ЖК ""Европейский"" – Ц. Рынок – ЖК ""Европейский""",9, , , ,9,7,60,13.699999999999999,13.05
93,5,Троллейбус,Гл. ЖДВ  – Сельмаш (по ул.Красноармейской),,,7,,7,11,79,17.100000000000001,13.32
70,80,Автобус,пос. Александровка – Гл. ЖДВ, , ,7, ,7,16,115,24.899999999999999,13.34
1,1,Автобус,Ц. Рынок - Военвед, , ,8, ,8,14,111,25,13.39
18,18а,Автобус,мкр. Суворовский – Облстной автовокзал Центральный, , ,10, ,10,24,241,53.600000000000001,13.40
56,65,Автобус,Институт сервиса – Ц. Рынок, , ,10, ,10,11,107,24.699999999999999,13.47
6,6,Автобус,Обл. Больница  – Ц. Рынок, , ,6, ,6,20,120,27.199999999999999,13.60
98,17,Троллейбус,Ц. Рынок – Стройгородок,,,8,,8,11,88,20.100000000000001,13.70
62,71,Автобус,Ц. Рынок – мкр. Левенцовский, , ,15, ,15,7,103,24,13.71
12,12,Автобус,"ЖК ""Акварель"" – Ц. Рынок", ,3, , ,3,16,49,11,13.75
44,49,Автобус,Стройгородок – ТРК «МЕГАМАГ», , ,10, ,10,12,120,27.5,13.75
42,47,Автобус,ул. Стартовая – Ц. Рынок – ул. Стартовая, , ,8, ,8,14,111,25.800000000000001,13.82
22,22,Автобус,В. Темерник – Ц. Рынок – В. Темерник, , ,10, ,10,13,126,30,13.85
25,28,Автобус,"Сельмаш – с/т ""Виноградарь""", , ,1, ,1,97,97,22.399999999999999,13.86
81,95,Автобус,Спортивный комплекс - Центральный рынок, ,4, , ,4,15,59,14,14.00
102,23,Троллейбус,Сельмаш - Верхний Темерник, , ,4, ,4,15,61,14,14.00
45,51,Автобус,ул. Мечникова – Ц. Рынок, ,5, , ,5,9,46,10.6,14.13
41,45,Автобус,ул. Стартовая – Ц. Рынок – ул. Стартовая, , ,8, ,8,13,104,24.699999999999999,14.25
38,42,Автобус,Инфекционная больница – Ц. Рынок, , ,14, ,14,12,163,40,14.29
101,22,Троллейбус,Гл. ЖДВ  – пос. Александровка, , ,15, ,15,7,104,25,14.29
85,99,Автобус,Стройгородок – Главный автовокзал, , ,6, ,6,17,102,24.600000000000001,14.47
23,24,Автобус,"ул. Горсоветская – ТРК ""МЕГАМАГ""", ,8, , ,8,14,109,27.100000000000001,14.52
21,21,Автобус,ул. Стартовая – Главный автовокзал, ,10, , ,10,11,108,26.699999999999999,14.56
35,39а (эл),Автобус,Главный автовокзал - Центральный рынок – ЖК Левобережье, , ,4, ,4,15,61,14.6,14.60
27,30,Автобус,"Аквапарк ""Осьминожек"" – Сельмаш", ,8, , ,8,10,77,19.5,14.62
100,18,Троллейбус,Мкр. Платовский - Сельмаш, ,,9,,9,10,91,22,14.67
46,54,Автобус,Темерник – пос. Александровка, , ,12, ,12,13,156,38.200000000000003,14.69
15,16,Автобус,ВОС – Ц. Рынок, , ,9, ,9,7,64,15.5,14.76
83,97,Автобус,Спортивный комплекс - Центральный рынок, ,5, , ,5,13,65,16,14.77
59,67,Автобус,мкр. Левенцовский – пр. Сельмаш, , ,20, ,20,9,187,44.399999999999999,14.80
4,3а,Автобус,Гл. ЖДВ – Обл. туб. Больница, , ,12, ,12,13,153,38.5,14.81
30,33,Автобус,В. Темерник – Главный автовокзал, , ,14, ,14,9,132,31.300000000000001,14.90
80,94,Автобус,ГПЗ-10 – Сельмаш – ГПЗ-10, , ,15, ,15,14,204,52.299999999999997,14.94
77,92,Автобус,"ЖК ""Платовский"" – Ц. Рынок", , ,10, ,10,16,162,40,15.00
99,17а ,Троллейбус,мкр. Левенцовский – Ц. Рынок, ,,10,,10,14,143,35.100000000000001,15.04
16,16а,Автобус,"ЖК ""Западная резиденция"" – Ц. Рынок", , ,6, ,6,26,158,39.200000000000003,15.08
84,98,Автобус,"ст. Первомайская – ЖК ""Красный Аксай""", , ,15, ,15,10,157,37.700000000000003,15.08
69,77,Автобус,Покровский храм – Ц. Рынок – Покровский храм, , ,12, ,12,8,99,24.199999999999999,15.12
39,43,Автобус,мкр. Суворовский – Главный автовокзал, , ,10, ,10,16,162,40.399999999999999,15.15
9,8,Автобус,"ГПЗ-10 – ТРК ""МЕГАМАГ""", , ,4, ,4,26,102,26.399999999999999,15.23
48,56,Автобус,ЖК Европейский – Площадь Советской Конституции, ,10, , ,10,14,139,36,15.43
78,92а,Автобус,"СТ ""Агропром"" – Ц. Рынок – СТ ""Агропром""", ,2, , ,2,67,134,34.5,15.45
40,44,Автобус,"ГПЗ-10 – ТЦ ""Меркурий""", ,4,10, ,14,17,237,61.600000000000001,15.53
47,55,Автобус,ул. Зорге – пос. Александровка, ,13, , ,13,15,191,50.600000000000001,15.57
73,84,Автобус,"ЖК ""Вересаево"" – Главный автовокзал", , ,6, ,6,17,104,26.600000000000001,15.65
61,70,Автобус,пос. Кирпичный – Гл. ЖДВ, , ,5, ,5,22,110,28.800000000000001,15.71
57,65а,Автобус,"Институт сервиса – ТРК ""МЕГАМАГ""", , ,10, ,10,11,114,28.899999999999999,15.76
14,15,Автобус,Западный переезд – Ц. Рынок,2,2, , ,4,17,68,18,15.88
58,66,Автобус,ул. Стартовая – пос. Александровка, , ,10, ,10,17,175,45,15.88
10,10,Автобус,мкр. Суворовский – ГПЗ-10, , ,7, ,7,26,181,48.200000000000003,15.89
95,8,Троллейбус,Ц. Рынок – ТПУ Левенцовский (по пр. Коммунистическому),,,9,,9,13,119,31,15.90
49,57,Автобус,пос. Кумженский – пл. Мичурина, , ,2, ,2,47,94,25,15.96
96,9,Троллейбус,Гл. ЖДВ  – пос. Пилотов,,,8,,8,11,90,23.5,16.02
26,29,Автобус,"СТ ""Утро"" – Гл. ЖДВ", ,10, , ,10,19,187,50.899999999999999,16.07
17,18,Автобус,мкр. Суворовский – пл. К. Маркса, , ,17, ,17,11,195,50.600000000000001,16.24
